Co_Ref,Prospect_Renewal_Date,days_to_renewal,Call_Date,Direction,cc_care_package,cc_care_package_discussed,cc_urgency_getting_on_site,cc_external_consultant,cc_agent_cross_sell_attempt,cc_customer_issues_concerns,cc_business_struggles_financial_hardship,cc_call_initiated_by,cc_questionnaire_completion,cc_chasing_response,cc_issues_within_questionnaire,cc_login_issues,cc_platform_issues,cc_dissatisfaction_time_to_complete,cc_process_complexity_concerns,cc_questions_harder_than_expected,cc_dissatisfaction_support,cc_pricing_mentioned,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_suggest_leave,cc_contractor_complained,Analysed_Call,Call_Year,cc_contractor_sentiment,cc_contractor_sentiment_start_score,cc_contractor_sentiment_end_score,cc_contractor_sentiment_overall_score,cc_contractor_sentiment_issues_score
PU5732,2025-06-10,0.0,2025-06-10,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,True,True,True,True,1,2025,Dissatisfied,20.0,0.0,0.0,0.0
KI3905,2025-07-14,0.0,2025-07-14,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,False,False,True,True,True,1,2025,Dissatisfied,20.0,80.0,60.0,40.0
AG7504,2025-09-16,0.0,2025-09-16,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,True,True,True,True,1,2025,Dissatisfied,20.0,10.0,10.0,10.0
UO6327,2025-09-22,0.0,2025-09-22,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,False,False,True,True,True,1,2025,Dissatisfied,20.0,0.0,0.0,0.0
BP1196,2025-07-21,12.0,2025-07-09,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,20.0,20.0,85.0
RP0743,2024-10-27,4.0,2024-10-23,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Agent,No,False,False,No,Yes,No,Yes,No,No,True,True,False,True,True,1,2024,Dissatisfied,20.0,10.0,10.0,10.0
NS4345,2025-10-11,5.0,2025-10-06,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,0.0,0.0,85.0
RT8191,2025-07-28,10.0,2025-07-18,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,40.0,40.0,40.0
WN5314,2025-05-12,4.0,2025-05-08,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,Yes,False,False,False,True,True,1,2025,Dissatisfied,20.0,80.0,80.0,80.0
RD0381,2025-09-29,11.0,2025-09-18,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,True,True,1,2025,Dissatisfied,20.0,40.0,30.0,20.0
MW0609,2025-12-14,9.0,2025-12-05,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,False,No,Yes,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,60.0,55.0,40.0
PT6261,2025-10-21,8.0,2025-10-13,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,True,True,No,No,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,20.0,20.0,85.0
TO5001,2025-10-09,6.0,2025-10-03,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,Yes,True,False,No,No,Yes,Yes,No,No,False,False,False,True,True,1,2025,Neutral,50.0,60.0,60.0,40.0
NK0826,2025-07-13,5.0,2025-07-08,IN_BOUND,Not Discussed,No,No,No,No,No,Yes,Agent,No,True,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2025,Neutral,20.0,80.0,80.0,80.0
AA0994,2025-01-25,12.0,2025-01-13,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,No,True,False,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,80.0,80.0,80.0
WL4087,2025-12-04,0.0,2025-12-04,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,True,False,No,No,No,Yes,No,Yes,False,False,False,False,True,1,2025,Neutral,20.0,60.0,60.0,60.0
NM3607,2025-01-16,14.0,2025-01-02,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,No,True,False,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,75.0,75.0
WL4087,2025-12-04,1.0,2025-12-03,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,True,False,No,No,No,No,No,Yes,False,False,False,False,True,1,2025,Dissatisfied,40.0,80.0,70.0,70.0
GI2737,2025-06-26,7.0,2025-06-19,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,Yes,Customer,No,True,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,20.0,90.0,90.0,90.0
HU2880,2025-11-18,0.0,2025-11-18,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,True,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,70.0,70.0
DW9987,2025-03-18,6.0,2025-03-12,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,50.0,20.0,20.0,20.0
VG1755,2026-01-20,13.0,2026-01-07,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,True,False,False,True,1,2026,Dissatisfied,40.0,60.0,60.0,40.0
HJ5058,2025-01-11,8.0,2025-01-03,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,20.0,40.0,30.0,30.0
AZ3735,2024-12-04,0.0,2024-12-04,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,True,False,False,True,1,2024,Dissatisfied,20.0,40.0,40.0,20.0
QA6584,2025-06-19,14.0,2025-06-05,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
GR9902,2025-03-23,12.0,2025-03-11,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,True,False,False,True,1,2025,Neutral,50.0,80.0,80.0,80.0
QS7817,2025-07-20,5.0,2025-07-15,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,False,False,False,True,1,2025,Satisfied,50.0,90.0,80.0,80.0
SG9408,2025-11-12,1.0,2025-11-11,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,80.0,80.0
NY0602,2025-09-05,0.0,2025-09-05,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Neutral,60.0,80.0,80.0,80.0
FX1758,2025-11-12,9.0,2025-11-03,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,50.0,20.0,20.0,20.0
YA8829,2025-12-04,13.0,2025-11-21,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,False,No,No,No,Yes,No,Yes,False,False,False,False,True,1,2025,Dissatisfied,50.0,50.0,50.0,50.0
KE4880,2026-01-05,12.0,2025-12-24,OUT_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Agent,Yes,False,False,No,No,No,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,20.0,30.0,30.0,20.0
BS1648,2025-10-03,7.0,2025-09-26,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,80.0,80.0
IY7893,2025-03-21,10.0,2025-03-11,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,True,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,80.0,80.0
OV6849,2025-02-23,4.0,2025-02-19,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,No,True,False,Yes,No,No,Yes,No,Yes,False,False,False,False,True,1,2025,Neutral,20.0,80.0,80.0,80.0
LV4562,2025-07-12,12.0,2025-06-30,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,True,False,Yes,No,Yes,Yes,No,No,False,False,True,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
YK0850,2025-02-12,0.0,2025-02-12,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,True,False,No,Yes,Yes,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,20.0,60.0,40.0,20.0
WY4581,2025-01-31,14.0,2025-01-17,IN_BOUND,Not Discussed,Yes,Yes,No,No,No,No,Customer,No,True,False,No,No,Yes,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,20.0,60.0,40.0,40.0
XQ7453,2025-05-23,7.0,2025-05-16,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,No,True,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Neutral,60.0,80.0,80.0,80.0
KA2239,2025-12-11,7.0,2025-12-04,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,No,True,False,No,No,Yes,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,50.0,60.0,55.0,50.0
IP9598,2025-06-06,10.0,2025-05-27,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,True,False,No,No,No,Yes,No,Yes,False,False,False,False,True,1,2025,Dissatisfied,20.0,60.0,60.0,60.0
YK0850,2025-02-12,1.0,2025-02-11,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,True,False,No,Yes,Yes,Yes,No,No,False,False,False,False,True,1,2025,Dissatisfied,20.0,80.0,60.0,40.0
KF5992,2025-03-30,12.0,2025-03-18,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,True,False,No,No,Yes,Yes,No,Yes,False,False,False,False,True,1,2025,Dissatisfied,20.0,60.0,60.0,20.0
BC3197,2025-07-13,6.0,2025-07-07,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,Yes,No,No,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,50.0,20.0,20.0,85.0
PZ4404,2025-06-03,4.0,2025-05-30,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,Yes,No,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,80.0,80.0
FF5723,2024-12-12,8.0,2024-12-04,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,False,Yes,No,Yes,Yes,No,No,False,False,False,False,True,1,2024,Dissatisfied,20.0,60.0,60.0,20.0
JZ2670,2025-05-17,2.0,2025-05-15,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,No,False,False,False,False,True,1,2025,Dissatisfied,20.0,80.0,80.0,80.0
GQ1025,2024-11-03,4.0,2024-10-30,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,False,False,False,False,True,1,2024,Dissatisfied,50.0,20.0,20.0,20.0
ZX5619,2024-11-07,1.0,2024-11-06,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,Yes,Yes,No,No,False,False,False,False,True,1,2024,Neutral,50.0,80.0,70.0,70.0
UP0053,2025-07-08,1.0,2025-07-07,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,False,False,False,True,1,2025,Neutral,50.0,70.0,60.0,60.0
WS1848,2025-04-26,11.0,2025-04-15,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,No,False,False,False,False,True,1,2025,Neutral,40.0,80.0,80.0,80.0
YE1109,2024-09-14,1.0,2024-09-13,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,False,False,False,True,1,2024,Satisfied,50.0,90.0,80.0,80.0
SG7354,2025-08-29,0.0,2025-08-29,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,75.0,80.0
IB4676,2025-10-05,2.0,2025-10-03,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,No,No,Yes,False,False,False,False,True,1,2025,Neutral,80.0,90.0,85.0,85.0
QN9677,2025-08-27,1.0,2025-08-26,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,20.0,20.0,85.0,85.0
OV6083,2025-11-13,1.0,2025-11-12,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,Yes,True,False,False,False,True,1,2025,Dissatisfied,20.0,60.0,40.0,40.0
JJ4313,2025-10-04,2.0,2025-10-02,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Not Relevant,No,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,0.0,0.0,0.0,85.0
LA0697,2025-08-31,4.0,2025-08-27,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,50.0,50.0,85.0
MF8029,2025-06-03,13.0,2025-05-21,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,True,False,False,True,1,2025,Neutral,50.0,80.0,65.0,60.0
OE0542,2025-11-04,7.0,2025-10-28,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,True,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
SU7153,2025-12-13,9.0,2025-12-04,IN_BOUND,Premier,Yes,No,No,No,Yes,No,Customer,Yes,True,False,No,No,Yes,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,20.0,60.0,40.0,20.0
IV0862,2025-06-11,1.0,2025-06-10,IN_BOUND,Express,Yes,Yes,No,No,Yes,No,Customer,No,True,False,No,No,Yes,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,60.0,40.0,40.0,40.0
FR1496,2025-09-13,9.0,2025-09-04,IN_BOUND,Express,Yes,Yes,No,No,No,No,Customer,No,True,False,No,No,No,Yes,No,No,True,False,False,False,True,1,2025,Neutral,60.0,80.0,70.0,70.0
VJ2417,2025-08-10,2.0,2025-08-08,IN_BOUND,Premier,Yes,Yes,No,No,No,No,Customer,No,True,False,No,No,Yes,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,40.0,80.0,70.0,60.0
UL1412,2025-05-10,1.0,2025-05-09,IN_BOUND,Not Discussed,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,False,True,1,2025,Satisfied,50.0,90.0,80.0,80.0
VA9806,2025-01-26,9.0,2025-01-17,IN_BOUND,Not Discussed,Yes,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2025,Neutral,40.0,80.0,60.0,60.0
OO4282,2025-10-06,5.0,2025-10-01,IN_BOUND,Express,Yes,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,20.0,80.0,80.0,80.0
VG5482,2025-08-27,5.0,2025-08-22,OUT_BOUND,Standard,Yes,Yes,No,No,No,No,Agent,Yes,False,False,No,No,No,No,No,No,True,False,False,False,True,1,2025,Neutral,50.0,80.0,70.0,85.0
UQ0279,2025-08-16,3.0,2025-08-13,IN_BOUND,Not Discussed,Yes,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,False,False,False,True,1,2025,Dissatisfied,40.0,80.0,60.0,40.0
KW1813,2025-01-25,4.0,2025-01-21,IN_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,False,False,False,True,1,2025,Satisfied,40.0,90.0,90.0,90.0
FU7092,2025-05-22,0.0,2025-05-22,IN_BOUND,Express,Yes,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,True,True,True,False,True,1,2025,Dissatisfied,20.0,80.0,80.0,80.0
AQ2650,2025-07-16,6.0,2025-07-10,IN_BOUND,Premier,Yes,Yes,No,No,Yes,No,Customer,Yes,True,True,No,Yes,No,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,20.0,40.0,30.0,20.0
FU7092,2025-05-22,7.0,2025-05-15,IN_BOUND,Standard,Yes,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,Yes,True,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,80.0
TF8347,2025-09-09,14.0,2025-08-26,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,True,True,No,No,Yes,Yes,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,65.0,60.0
YK0850,2025-02-12,1.0,2025-02-11,OUT_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,Yes,True,True,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,70.0,60.0
WL4087,2025-12-04,2.0,2025-12-02,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,True,True,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Dissatisfied,20.0,60.0,40.0,40.0
KZ9733,2025-11-27,2.0,2025-11-25,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,Yes,False,True,No,No,No,Yes,No,Yes,False,False,False,False,True,1,2025,Dissatisfied,50.0,30.0,30.0,20.0
UC1131,2025-10-04,3.0,2025-10-01,OUT_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,70.0,60.0
EC4793,2024-10-04,0.0,2024-10-04,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,False,False,No,Yes,No,No,No,No,True,True,False,False,True,1,2024,Dissatisfied,20.0,80.0,60.0,60.0
SW6054,2025-07-25,4.0,2025-07-21,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Agent,No,False,False,No,Yes,No,Yes,No,Yes,True,True,False,False,True,1,2025,Dissatisfied,20.0,80.0,60.0,40.0
MP4544,2025-11-04,4.0,2025-10-31,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
BV3594,2024-11-05,13.0,2024-10-23,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2024,Neutral,40.0,80.0,80.0,80.0
PS8497,2025-10-18,8.0,2025-10-10,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Dissatisfied,50.0,70.0,60.0,60.0
IP6296,2025-07-08,8.0,2025-06-30,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,20.0,40.0,30.0,20.0
SG3537,2026-01-13,8.0,2026-01-05,IN_BOUND,Express,Yes,Yes,No,No,Yes,No,Customer,Yes,True,False,No,No,Yes,No,Yes,No,False,False,False,False,True,1,2026,Dissatisfied,20.0,80.0,60.0,60.0
FE2091,2025-07-09,7.0,2025-07-02,OUT_BOUND,Standard,Yes,Yes,No,No,Yes,No,Agent,Yes,True,False,No,No,No,No,Yes,No,False,False,False,False,True,1,2025,Neutral,50.0,60.0,55.0,55.0
NX6893,2025-09-06,2.0,2025-09-04,IN_BOUND,Standard,Yes,No,No,No,No,No,Customer,Yes,True,True,Yes,No,Yes,Yes,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
ZC1182,2025-07-11,11.0,2025-06-30,OUT_BOUND,Standard,Yes,No,No,No,No,No,Agent,Yes,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
BK4986,2025-11-23,13.0,2025-11-10,OUT_BOUND,Standard,Yes,No,No,No,No,No,Customer,Yes,False,False,Yes,No,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
RE5573,2025-08-13,7.0,2025-08-06,IN_BOUND,Express,Yes,No,No,No,No,No,Customer,Yes,False,False,Yes,Yes,Yes,Yes,No,No,False,False,False,False,True,1,2025,Satisfied,40.0,90.0,80.0,60.0
PZ4404,2025-06-03,12.0,2025-05-22,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,20.0,90.0,90.0,90.0
CW3422,2025-04-28,13.0,2025-04-15,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,Yes,Yes,No,No,False,False,False,False,True,1,2025,Satisfied,20.0,90.0,90.0,90.0
DE3222,2025-11-13,0.0,2025-11-13,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,No,No,No,False,False,False,False,True,1,2025,Neutral,50.0,80.0,80.0,80.0
HW2167,2025-05-31,4.0,2025-05-27,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,Yes,False,True,No,Yes,Yes,Yes,No,No,True,True,False,False,True,1,2025,Dissatisfied,20.0,80.0,80.0,20.0
SK3612,2025-03-18,1.0,2025-03-17,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,Yes,False,True,No,Yes,Yes,Yes,No,No,True,True,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
AP2580,2025-07-12,12.0,2025-06-30,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,Yes,False,True,No,No,No,Yes,No,No,False,False,False,False,True,1,2025,Neutral,40.0,80.0,70.0,60.0
MH9254,2025-08-03,4.0,2025-07-30,IN_BOUND,Not Discussed,No,Yes,No,No,No,No,Customer,Yes,False,False,No,Yes,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,40.0,90.0,80.0,40.0
XG3863,2025-07-02,2.0,2025-06-30,IN_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,No,No,No,No,No,False,False,False,False,True,1,2025,Satisfied,50.0,90.0,90.0,90.0
